Name Formatted,"Where is the job located? (City, State, Country)",When does the application close?,Educational requirements?,What sector is this job in?
Data Librarian/Analyst,"New York, NY, USA",,Master's Degree,Non-profit
Tenured and Tenure-Track Faculty,"Boston, MA, USA",,Ph.D Graduate,Academia
Program Manager: Digital Infrastructure Incubator,Remote,,Bachelor's Degree,Industry
Scientific programmer / software developer (bioinformatics),"Zürich, Switzerland",,Master's Degree,Academia
"RStudio Program Director, Open Source",Remote,,Bachelor's Degree,Non-profit
Research Analyst/Software Developer - Tisch College,"Medford, MA, USA",,Bachelor's Degree,Academia
Civic Innovation Corps,Varies,3/1/2021,Current Undergrad,Non-profit
Data Analyst - National League of Cities,"Washington, DC, USA",,Bachelor's Degree,Non-profit
Data Analyst (remote) - Ad Hoc,Remote,2/26/2021,Bachelor's Degree,Non-profit
Data Curator - Dryad,Remote,,Bachelor's Degree,Academia
World Bank Geographer,"Washington, DC, USA",2/19/2021,Master's Degree,Non-profit
Stanford Cartographic Metadata Librarian,"Stanford, CA, USA",,Master's Degree,Academia
Data Librarian/Analyst,New York City,,Master's Degree,Industry
Library of Congress Analyst in Science and Technology Policy,"Washington, DC, USA",3/12/2021,Bachelor's Degree,Government
Health Research Data Manager,"Phoenix, AZ, USA",3/11/2021,Master's Degree,Academia
Urban Institute Data Science Intern,"Washington, DC, USA",,Current Undergrad,Non-profit
Invisible Institute Contract,,,Bachelor's Degree,Industry
Data Science Fellowship Program,Remote,,Current Undergrad,Government
Teaching Fellow in Data Science (Visiting Assistant Professor),"Santa Barbara, CA, USA",,Ph.D Graduate,Academia
Data Scientist,"Brooklyn, New York",4/16/2021,Master's Degree,Government
Data Scientist,"Copenhagen, Denmark",3/29/2021,Master's Degree,Academia
Postdoc - drone operations for wildlife research (University of North Dakota),"Grand Forks, ND",3/15/2021,Current Grad Student,Academia
Software developer (python and web) - Tufts University redistricting lab,"Somerville, Massachusetts",3/31/2021,Bachelor's Degree,Non-profit
Research Data Specialist I,"Sacramento, CA, USA",,Bachelor's Degree,Government
"Research Fellow
(Center for Democracy and Technology)","Washington, DC, USA",,Ph.D Graduate,Non-profit
"Geospatial Software Engineer
(Mapbox)","San Francisco, CA or Washington, DC, USA",,Bachelor's Degree,Industry
"Analytics Intern
(World Wildlife Fund)","Washington, DC, USA",,Bachelor's Degree,Non-profit
"Remote Sensing Post Doc
(Brookhaven National Laboratory)","New York, USA",,Ph.D Graduate,Government
"Intern, Interactive News
(New York Times)","New York, NY, USA",,Current Undergrad,Industry
"Research Assistant  (Metropolitan Housing and Communities Policy Center)
(The Urban Institute)","Washington, DC, USA",,Current Undergrad,Non-profit
"Research Assistant – Computational Social Science 
(Microsoft)","New York, NY, USA",4/20/2021,Bachelor's Degree,Industry
"Data Analyst II, Web and Digital
(ACLU)","New York, NY, USA",,Bachelor's Degree,Non-profit
"Data Scientist
(The Council of State Governments)","Sacramento, CA, USA",,Master's Degree,Non-profit
"Data Scientist
(The Council of State Governments)","New York, NY, USA",,Master's Degree,Non-profit
"Data Scientist
(The Council of State Governments)","Austin, TX, USA",,Master's Degree,Non-profit
"Data Scientist
(The Council of State Governments)","Seattle, WA, USA",,Master's Degree,Non-profit
"Analyst 2
(Center for Educational Effectiveness, UC Davis)","Davis, CA, USA",4/9/2021,Bachelor's Degree,Academia
"Postdoc in Agriculture and Remote Sensing
(Jain Lab (University of Michigan))","Ann Arbor, Michigan",4/8/2021,Current Grad Student,Academia
"Postdoctoral Scholar, Center for Social Data Analytics
(Penn State)","State College, PA, USA",,Ph.D Graduate,Academia
"Geospatial Specialist (Unit Lead)
(US Forest Service)","Salt Lake City, UT, USA",4/16/2021,Bachelor's Degree,Government
"Publicly Active Graduate Education (PAGE) Fellowship
(Imagining America)",Varies,7/9/2021,Current Grad Student,Non-profit
"Quantitative Research Associate
(Center for Policing Equity)","Washington, DC, USA",,Master's Degree,Non-profit
" Catastrophe Risk GIS Analyst
(Liberty Mutual Insurance)",Remote,,Bachelor's Degree,Industry
"Research Analyst, AI on the Ground
(Data & Society Research Institute)",Remote,4/28/2021,Master's Degree,Non-profit
"Postdoc--Computational Social Science for Scholarly Communications & Open & Equitable Scholarship 
(MIT)","Cambridge, MA, USA",,Ph.D Graduate,Academia
"Data Scientist
(Utah Governor's Office)","Salt Lake City, UT, USA",4/27/2021,Bachelor's Degree,Government
"Data Engineering Manager
(City of Boston)","Boston, MA, USA",,Bachelor's Degree,Government
"Data Science Facilitator
(University of Wisconsin–Madison)","Madison, WI, USA",5/7/2021,Master's Degree,Academia
"Educational Technologist
(Alan Turing Institute)","London, UK",,Master's Degree,Government
"Research & Policy Fellow
(Fair and Just Prosecution)","New York, NY, USA",,Bachelor's Degree,Non-profit
"Research Scientist, Societal Harms of AI
(OpenAI)","San Francisco, CA, USA",,Ph.D Graduate,Industry
"Chief Data Officer
(City of San Francisco)","San Francisco, CA, USA",,Bachelor's Degree,Government
"Data Advisor
(Global Witness)","London, UK",5/11/2021,Bachelor's Degree,Non-profit
"Data Engineer
(United Nations)","Geneva, Switzerland",4/28/2021,Master's Degree,Non-profit
"Project Manager - Python Packaging
(Python Software Foundation)",Remote,5/18/2021,Bachelor's Degree,Non-profit
"Associate Lecturer (Teaching)
(University College London)","London, UK",,Ph.D Graduate,Academia
Applied Scientist – Geospatial,Remote,,Bachelor's Degree,Industry
Assistant or Associate Professor – Applied Statistics,"Vienna, Austria",,Ph.D Graduate,Academia
"Senior Analyst, Investment Analytics","San Fransisco, CA",,Bachelor's Degree,Industry
"Biologist, GS- 0401-12/13",Negotiable Location,3/2/2021,Bachelor's Degree,Government
Research Data Analyst at Department of Corrections & Rehabilitation,"Sacramento, CA",3/4/2021,Bachelor's Degree,Government
